https://steemit.com/blog/@ronny80/so-jetzt-wird-holz-zu-kleinholz-gesaegt	aus Kleinholz machen	literally	War bitter nötig , gerade jetzt wenn es zum Herbst zu geht will ich einiges in Ordnung bringen . Also jegliches Baumgestänge entzweigen und <b>Kleinholz</b> <b>draus</b> <b>machen</b> . Hauptsache es ist genügend da , um es später zu verbrennen .
https://www.abendblatt.de/hamburg/polizeimeldungen/article230592472/Ausstieg-verpasst-Mann-zieht-Notbremse-schlaegt-scheibe-ein-springt-aus-Zug-zeugen-gesucht-polizei-schleswig-holstein.html	Notbremse ziehen	literally	Außergewöhnlicher Vorfall im Zug von Kiel nach Hamburg : Am Sonnabendmorgen gegen 7.40 Uhr hat ein Reisender <b>die</b> <b>Notbremse</b> des Zuges <b>gezogen</b> , weil er offenbar seinen Ausstieg in Wrist ( Schleswig-Holstein ) verpasst hatte . Anschließend schlug er die Scheibe des Zuges ein , sprang aus der Bahn und flüchtete über die Gleise .
https://www.licht-fuer-die-welt.at/gezaw-spannt-die-ochsen	Ochsen hinter Pflug spannen	literally	Und es kommt noch besser : schon nach wenigen Tagen kann Gezaw wieder selbst <b>die</b> <b>Ochsen</b> <b>vor</b> <b>den</b> <b>Pflug</b> <b>spannen</b> . Er hat nicht nur sein Augenlicht zurück , sondern auch seine Selbständigkeit und seine Rolle in der Gesellschaft .
https://magazin.norderney-zs.de/news/tourismus/auf-sand-gebaut/	auf Sand gebaut haben	literally	Seit dem 15.10. ist der sogenannte Baustopp aufgehoben und die Baufirmen haben damit begonnen den Baugrund freizuräumen – die alten Häuser abzureißen . Für viele Insulaner und Festländer ist dabei erstaunlich , daß die meisten Häuser auf der Insel gar kein Fundament haben – sie <b>sind</b> <b>auf</b> <b>Sand</b> <b>gebaut</b> . Wenn man im ( Kriech ) keller der Häuser steht und ein wenig gräbt merkt man , daß nach den sichtbaren Ziegel ungefähr noch 4-6 Reihen kommen und dann nur noch Inselsand .
https://www.oeamtc.at/autotouring/auto/gegen-die-wand-10945063	gegen Wand fahren	literally	Der Crashtest wird laufend weiterentwickelt . Seit Jänner 2015 werden die Autos nicht nur mit 64 km/h und einer Überlappung von 40 Prozent gegen eine nachgiebige Barriere gecrasht , sondern zusätzlich frontal und mit der gesamten Front mit Tempo 50 <b>gegen</b> <b>eine</b> starre <b>Wand</b> <b>gefahren</b> . Bei den Sicherheits-Assistenten sind in den letzten Jahren immer neue Systeme miteinbezogen worden ( etwa Fahrspur- oder Notbremsassistenten ) , während etwa ESP aus der Wertung gefallen ist – mittlerweile ist das Anti-Schleuder-Programm bei Neuwagen ja bereits obligatorisch .
https://www.foodhunter.de/kochen-mit-lakritz-raffiniert-suessholz-raspeln/	Süßholz raspeln	literally	Es sei „ eher herb , leicht erdig aber nicht rindig “ , beschreibt Sören Anders sein Gaumengefühl . Der Koch <b>raspelt</b> in seinem Karlsruher Restaurant „ Anders auf dem Turmberg “ vorsichtig eine kleine Stange <b>Süßholz</b> in die Soße für eine Taube mit Chicorée . „ Ich koche gerne mit Lakritz “ , sagt Anders .
https://www.mainpost.de/neuesarchiv/damit-s-ihnen-nicht-unter-den-naegeln-brennt-art-4081338	unter Nägeln brennen	literally	Ständiges Eintauchen der Hände in Wasser mit Reinigungsmitteln kann durch Aufweichen der Haut ebenfalls zu Entzündungen führen . Dr. Geis gibt Tipps , damit es Ihnen nicht <b>unter</b> <b>den</b> <b>Nägeln</b> <b>brennt</b> : ♦ Tragen Sie bei allen Tätigkeiten , bei denen Sie mit Wasser oder Reinigungsmitteln in Berührung kommen , baumwollgefütterte Gummihandschuhe .
https://www.suedostschweiz.ch/ereignisse/2017-07-17/frau-will-auf-fahrenden-zug-aufspringen	auf fahrenden Zug aufspringen	literally	Eine 83-jährige Frau ist am Sonntagmorgen in St. Moritz beim Versuch , <b>auf</b> <b>einen</b> <b>fahrenden</b> <b>Zug</b> <b>aufzuspringen</b> , ausgerutscht und zwischen Bahnsteig und Zug gefallen . Dieser fuhr ihr dabei trotz Notbremsung über das rechte Bein .
https://www.myheimat.de/gladenbach/giessen-leiche-im-keller-eines-alten-hauses-giftspinnen-im-stockwerk-darueber-d96497.html	Leiche in Keller haben	literally	Nun ahnte er , was das für ein sonderbares Haus sein könnte . Die Frage mit <b>der</b> <b>LEICHE</b> <b>im</b> <b>Keller</b> konnte er später klären ( siehe Bild mit Legende ) . Es handelte sich um die Leiche eines Menschen , der durchaus durch Gift-Spinnen-Stich umgekommen sein konnte .
https://www.hwk-stuttgart.de/view?onr=67&pnr=977&mnr=0	Fass Boden ausschlagen	literally	Dazu musst du alles über die Materialien wissen , welche Maße sie haben und was rein soll . Und bei der Herstellung unterstützen dich moderne Maschinen - damit 's <b>dem</b> <b>Fass</b> nicht <b>den</b> <b>Boden</b> <b>ausschlägt</b> .
